,station,change_CRIME_mean,change_CRIME_sem,long,lat
0,0,-130.0,,-76.98318088182015,38.859989607745675
1,1,90.0,,-76.95443808843366,38.923207697986925
2,2,-7.0,,-77.01143648824558,38.92238857936974
3,3,90.0,,-76.95443808843366,38.923207697986925
4,4,-22.0,,-77.02614224960416,38.97407261067991
5,5,73.0,,-77.02846719503322,38.982796009926375
6,6,,,-77.00473667522331,38.85472857407724
7,7,-30.0,,-77.0567834254866,38.911899907398386
8,8,-13.0,,-77.07935546748277,38.937447518336825
9,9,-78.0,,-77.01288778419753,38.825897455641766
10,10,-14.0,,-77.08289568613856,38.93013207714657
11,11,-8.0,,-77.00687348361504,38.9455725687706
12,12,-43.0,,-76.96965490692368,38.86635549615703
13,13,2.0,,-77.03885648963869,38.8918097372739
14,14,9.0,,-77.03484114975862,38.91537397692628
15,15,2.0,,-77.04967962966622,38.890432107637864
16,16,89.0,,-77.02235871868189,38.92085107976983
17,17,240.0,,-77.02409131764058,38.90410881023055
18,18,-166.0,,-76.99972715613144,38.82905048681992
19,19,-115.0,,-76.99515828359046,38.82909147509111
20,20,-89.0,,-77.00369396376982,38.847318818789304
21,21,-20.0,,-77.00702289902893,38.84023169899214
22,22,-46.0,,-77.00850986855903,38.837233648917255
23,23,-27.0,,-76.98554550254887,38.840411651720515
24,24,-174.0,,-76.98938931751138,38.858290982428315
25,25,-112.0,,-76.97220379080483,38.86110299203275
26,26,-27.0,,-76.97930149871738,38.88282039997382
27,27,-97.0,,-76.96507293672082,38.87479822397826
28,28,-63.0,,-76.9660979271006,38.870052140349024
29,29,53.0,,-76.94512552934304,38.86787205211053
30,30,-76.0,,-76.95695582350098,38.8914841343809
31,31,-59.0,,-76.95830166233921,38.884715428637435
32,32,-132.0,,-76.95085852475887,38.88833548414969
33,33,-66.0,,-76.94110327267738,38.88413597718505
34,34,-48.0,,-76.93889813882015,38.89528971114393
35,35,-6.0,,-76.93208479710043,38.875931763699434
36,36,-99.0,,-76.92951199728242,38.887657167352046
37,37,-50.0,,-76.94280498555736,38.89157340428504
38,38,-59.0,,-76.91907219925557,38.896707768308744
39,39,-52.0,,-76.93507997768717,38.90165163688329
40,40,58.0,,-76.9265684652877,38.90314820979333
41,41,-113.0,,-76.97140825335353,38.89973553145616
42,42,-55.0,,-76.97470014043236,38.905957258432394
43,43,9.0,,-76.960778478301,38.927881672365466
44,44,34.0,,-76.96187994974835,38.922256970534264
45,45,3.0,,-76.97712932977156,38.94055431028562
46,46,-15.0,,-76.97171431269084,38.93554778219845
47,47,83.0,,-76.96927751130536,38.92511935327723
48,48,-11.0,,-76.97599165407044,38.92047309381128
49,49,4.0,,-76.99017400695269,38.95438039104384
50,50,-32.0,,-76.98811460418725,38.9484810605845
51,51,0.0,,-76.99658450346982,38.94591936111652
52,52,25.0,,-76.9961263669071,38.95193766353394
53,53,13.0,,-76.99551545279624,38.95908810731963
54,54,9.0,,-77.00139185517244,38.96409350477926
55,55,-81.0,,-77.03531453407237,38.963115718088055
56,56,-70.0,,-77.02168748551281,38.965235574388565
57,57,2.0,,-77.06712505492308,38.96997575162196
58,58,-41.0,,-77.0594091926558,38.961816493656926
59,59,-26.0,,-77.06719581896559,38.96407658943461
60,60,-37.0,,-77.07329653242331,38.959246364511515
61,61,-7.0,,-77.06786982646723,38.950549904172384
62,62,-49.0,,-77.09131593803296,38.95425218669679
63,63,-53.0,,-77.08883759869889,38.949534783838004
64,64,-24.0,,-77.09313496272594,38.94474061646689
65,65,-6.0,,-77.09487947972212,38.93693326244524
66,66,0.0,,-77.05506121497197,38.94488392642624
67,67,27.0,,-77.05429326508106,38.93838926000347
68,68,-110.0,,-77.04162736259369,38.93636848546213
69,69,-22.0,,-77.06680455699457,38.93748896756246
70,70,-59.0,,-77.02771532180324,38.945370307070036
71,71,-135.0,,-77.02139981274783,38.95273662264878
72,72,-109.0,,-77.02186003425298,38.96045903867464
73,73,-106.0,,-77.02148670615753,38.93722006357331
74,74,-25.0,,-77.00812201582775,38.95223776558413
75,75,26.0,,-76.9847785413538,38.92005984077586
76,76,18.0,,-77.00216939625031,38.93350376219621
77,77,121.0,,-76.99191739691608,38.923421292975476
78,78,39.0,,-76.9855081415674,38.93300234818707
79,79,-83.0,,-77.018555260521,38.93021307927563
80,80,12.0,,-77.01864508192673,38.92363459981058
81,81,-57.0,,-77.01834591868655,38.9467545777989
82,82,-12.0,,-77.04855267541689,38.93351753058157
83,83,-18.0,,-77.05541278489109,38.926006451334004
84,84,2.0,,-77.07934369018376,38.907043770934436
85,85,46.0,,-77.0665366881232,38.91205713780691
86,86,8.0,,-77.0822544850759,38.918244249756555
87,87,-8.0,,-77.08088875484016,38.924561491395664
88,88,-15.0,,-77.0798288572702,38.93171272653299
89,89,-4.0,,-77.07175605878331,38.94518472077239
90,90,-9.0,,-77.08273963026015,38.94195974408825
91,91,-30.0,,-77.09785708949227,38.94967058720448
92,92,0.0,,-77.09123122686017,38.923838823075414
93,93,-1.0,,-77.06511976430708,38.93053009726883
94,94,38.0,,-77.07371274580103,38.91894116801525
95,95,148.0,,-77.05923615721964,38.93727257224885
96,96,-29.0,,-77.06551095773672,38.95776726201471
97,97,-32.0,,-77.08154334893011,38.96335837396007
98,98,-7.0,,-77.03558004303551,38.98740686473853
99,99,29.0,,-77.02183533395967,38.97947326592
100,100,-32.0,,-77.02229054073163,38.9704636284513
101,101,4.0,,-77.0349328472403,38.97539433939434
102,102,-55.0,,-76.98189447440274,38.89362987057661
103,103,38.0,,-76.95025130687095,38.862249221280464
104,104,49.0,,-77.01365990999679,38.9027312078828
105,105,1.0,,-77.04073735690187,38.88792327014308
106,106,14.0,,-77.03113138404188,38.88840292962038
107,107,327.0,,-77.03233195425744,38.899714771560774
108,108,-6.0,,-77.0176160679727,38.890508013419606
109,109,-110.0,,-77.01922962024246,38.90280669634614
110,110,,,-77.04957497882768,38.887829280350545
111,111,-139.0,,-77.03787949357617,38.91588283953067
112,112,-44.0,,-77.03992711802047,38.91142023098818
113,113,96.0,,-77.03173032487639,38.91857326625467
114,114,172.0,,-77.03180035779468,38.911422725606826
115,115,-161.0,,-77.03312160926883,38.92530866275439
116,116,-46.0,,-77.02609495694959,38.92589678443927
117,117,107.0,,-77.02250341854052,38.915371975345025
118,118,41.0,,-77.01357026459547,38.9125131457116
119,119,84.0,,-77.0227210143536,38.90890785888705
120,120,185.0,,-77.02740536204684,38.90581782423412
121,121,-72.0,,-76.9957379727647,38.88394505332349
122,122,0.0,,-77.03304858830101,38.932340011404506
123,123,,,-77.02914115186871,38.86883472063127
124,124,1.0,,-77.03329414494527,38.8831347537882
125,125,-6.0,,-77.00813766792658,38.89086181804828
126,126,0.0,,-77.05534873257398,38.89292264780436
127,127,27.0,,-76.96814360219919,38.9186495024746
128,128,-1.0,,-77.05360754116788,38.97036336718517
129,129,-9.0,,-76.97134166228268,38.88527085428317
130,130,-3.0,,-76.94618687114303,38.921300682253616
131,131,4.0,,-77.06002542975811,38.96857335407594
132,132,16.0,,-77.05954283926393,38.9756287045263
133,133,23.0,,-76.98162974562044,38.94456175804285
134,134,2.0,,-76.98211983546895,38.937506688239495
135,135,89.0,,-76.92137011401461,38.901061635698554
136,136,1.0,,-77.02041541788313,38.81947424708882
137,137,13.0,,-76.95701875886027,38.86294384831433
138,138,71.0,,-76.99579289166681,38.913291596631296
139,139,-40.0,,-76.9769999290573,38.915958936310105
140,140,-32.0,,-76.95845041053366,38.91728857640328
141,141,-6.0,,-77.07172086431797,38.94053692711559
142,142,2.0,,-77.09026488755052,38.93175280238344
143,143,1.0,,-77.10905717569656,38.928685895190725
144,144,-39.0,,-77.0377892484878,38.94951475932779
145,145,-5.0,,-77.03634022275565,38.980977208196194
146,146,21.0,,-77.04196473105253,38.991081255267375
147,147,-19.0,,-77.07321629047274,38.9702819471932
148,148,2.0,,-76.964300191315,38.932926289237486
149,149,-2.0,,-77.05925196289968,38.919569107105474
150,150,11.0,,-76.93774517069264,38.87094381741424
151,151,15.0,,-77.09734035684005,38.92888692193818
152,152,4.0,,-77.0919525556072,38.91535297702744
153,153,11.0,,-77.06589395170428,38.97581597837671
154,154,40.0,,-77.05248117299764,38.90635064425104
155,155,215.0,,-77.04650342422454,38.905283402089395
156,156,119.0,,-77.04636844490159,38.90899088517109
157,157,137.0,,-77.03442570382845,38.90508196026565
158,158,230.0,,-77.06431852412692,38.904801182053845
159,159,260.0,,-77.02495349229663,38.894072399680006
160,160,79.0,,-77.02559515999664,38.8975001155964
161,161,260.0,,-77.03914182201808,38.90608415881219
162,162,39.0,,-77.02147284635883,38.886225878338514
163,163,142.0,,-77.00515735246037,38.87749809162088
164,164,20.0,,-77.01803637956327,38.876938830624276
165,165,,,-77.03923826263993,38.87906925965172
166,166,-146.0,,-77.02020672698731,38.896017900099906
167,167,-81.0,,-77.04467654374312,38.914469225719785
168,168,166.0,,-77.05974421337092,38.903476429741346
169,169,-80.0,,-76.98872383626207,38.89986950834398
170,170,115.0,,-77.00060554252333,38.89874293522006
171,171,-103.0,,-77.04004594954068,38.92946932653494
172,172,212.0,,-77.04206867891577,38.90356615367855
173,173,186.0,,-77.03782233979003,38.9028239494357
174,174,89.0,,-77.04642794548674,38.901793969794994
175,175,85.0,,-77.05057567473747,38.9034340657434
176,176,2.0,,-77.01115026341199,38.896889819271806
177,177,37.0,,-77.05476907123196,38.9025383582414
178,178,31.0,,-77.0252837773884,38.90075052193646
179,179,-58.0,,-77.01191533151834,38.957595788840536
180,180,-67.0,,-76.92224912516869,38.88292228196691
181,181,-22.0,,-76.98875345337481,38.83107749283156
182,182,-70.0,,-76.96854595231358,38.846847724229406
183,183,4.0,,-77.03850663585195,38.89700752105692
